h, theta, phi
-2.00576167, 3.42649987, -0.183764899
-1.7052819, 3.42651678, -0.183749546
-1.56089705, 3.42653981, -0.183781758
-1.88015111, 3.42651848, -0.183766394
-1.57842083, 3.42655787, -0.183766679
-1.42619522, 3.4265744, -0.183794083
-1.64224074, 3.42652879, -0.183768006
-1.48050946, 3.42655262, -0.183784746
-1.42796521, 3.42655838, -0.183781847
-1.32948772, 3.42659047, -0.183797651
-1.88141277, 3.42651517, -0.183768923
-1.5974201, 3.42653103, -0.183772301
-2.02893459, 3.42648031, -0.183752613
-1.42385432, 3.42657114, -0.183781287
-1.67615441, 3.42653754, -0.183777439
-1.5129713, 3.42657007, -0.183780297
-1.88076712, 3.42648323, -0.183750171
-1.94986839, 3.4265065, -0.183758131
-1.5228377, 3.42661089, -0.183780035
-1.85081657, 3.42650905, -0.18375234
-1.2535829, 3.42658777, -0.18378678
-1.67966133, 3.4265487, -0.183769525
-1.8600401, 3.42651987, -0.183760973
-1.97006721, 3.42649006, -0.183733092
-1.60523092, 3.42653979, -0.183761293
-1.63931484, 3.42653538, -0.183769172
-1.71273855, 3.42655173, -0.183763365
-1.56770833, 3.42657298, -0.183777946
-1.49709537, 3.42655146, -0.183776978
-1.51059184, 3.42658092, -0.183783228
-1.46937697, 3.42657767, -0.183785827
-1.43558987, 3.42660166, -0.183789876
-1.55772688, 3.42655184, -0.183763475
-1.75469458, 3.42652469, -0.183772369
-1.44415378, 3.4265586, -0.183775385
-1.38006441, 3.42656392, -0.183774046
-1.90479905, 3.42650504, -0.183751643
-1.60314249, 3.42652936, -0.183774823
-1.38423661, 3.42657438, -0.18377668
-1.42399709, 3.42656502, -0.183787257
-1.5699689, 3.42655371, -0.183772438
-1.59954224, 3.42653105, -0.183771717
-1.36807637, 3.42658225, -0.183794449
-1.61789488, 3.42654688, -0.1837661
-1.50897709, 3.42660004, -0.183789508
-1.37517359, 3.42658602, -0.183794721
-1.66973371, 3.42654481, -0.183765807
-1.39146433, 3.42658353, -0.183787746
-1.1599626, 3.42663649, -0.183800804
-1.90444294, 3.42648684, -0.183770577
-1.42146441, 3.42659355, -0.183797104
-1.44461081, 3.42655036, -0.183792428
-1.77704951, 3.42652207, -0.183766399
-1.66479166, 3.42653868, -0.183770322
-1.3651514, 3.42656122, -0.183789472
-1.49900902, 3.42657255, -0.18377885
-1.75760679, 3.42654258, -0.183762233
-1.50482156, 3.42653869, -0.183775342
-1.77341126, 3.42653077, -0.183757212
-1.83074495, 3.42652563, -0.183767326
-1.66367076, 3.42654659, -0.183776088
-1.47839796, 3.42657683, -0.183782646
-1.55626549, 3.42654828, -0.183773472
-1.47069117, 3.42656844, -0.183782991
-1.3226783, 3.42658915, -0.183784325
-1.61535861, 3.4265515, -0.183766523
-1.64380813, 3.42653505, -0.183774761
-1.56521049, 3.42654991, -0.183774022
-1.35904967, 3.42656939, -0.183782184
-1.50421405, 3.42659378, -0.183780175
-1.63215419, 3.42651274, -0.183769631
-1.6348148, 3.42655513, -0.183773967
-1.33013592, 3.4266004, -0.183787458
-1.72176011, 3.42653882, -0.183766907
-1.42389298, 3.42660391, -0.183795586
-1.51538683, 3.42655745, -0.183778058
-1.74981278, 3.4265204, -0.183769325
-1.66045487, 3.42653794, -0.183775627
-1.25968491, 3.42662244, -0.183794029
-1.8339646, 3.42650301, -0.183752076
-1.6961134, 3.42652881, -0.1837637
-1.61747238, 3.42655352, -0.183781093
-1.32153092, 3.4265883, -0.183782942
-1.5944441, 3.42656178, -0.183770627
-1.47554824, 3.42658055, -0.183788118
-1.69408845, 3.42653201, -0.183762686
-1.55123418, 3.42656217, -0.183778267
-1.37341307, 3.42660584, -0.183803172
-1.39709598, 3.42655873, -0.183790347
-1.56824027, 3.42656635, -0.183763059
-1.82983995, 3.42651815, -0.183763239
-1.67519393, 3.42653532, -0.183764641
-1.6423028, 3.42652748, -0.183768427
-1.77764127, 3.42653959, -0.183760035
-1.51823419, 3.42657022, -0.18377557
-1.48042067, 3.42657737, -0.183775038
-1.43550097, 3.4265775, -0.183787729
-1.31891223, 3.42658399, -0.183794584
-1.56768135, 3.42655718, -0.183770149
-1.76691325, 3.42649758, -0.183762702
-1.39242575, 3.42659231, -0.183789068
-1.54509896, 3.42657509, -0.183781879
-1.34794858, 3.42659007, -0.183782837
-1.81972312, 3.42653319, -0.183759857
-1.45582091, 3.42657351, -0.183779761
-1.31459483, 3.42660343, -0.183786987
-1.65962231, 3.42653985, -0.183778639
-1.72431458, 3.4265272, -0.183773769
-1.63732462, 3.42654558, -0.183770756
-1.56712273, 3.42654225, -0.183776011
-1.67219348, 3.42651812, -0.183755132
-1.55103471, 3.4265769, -0.183775201
-1.28943174, 3.42659262, -0.183787093
-1.64462359, 3.42652399, -0.183765864
-1.4306494, 3.42658685, -0.183782792
-1.37755608, 3.42657246, -0.183791346
-1.67681853, 3.42654399, -0.183774858
-1.65147373, 3.4265104, -0.183774114
-1.80480271, 3.42649405, -0.183759543
-1.67771685, 3.42654012, -0.183776187
-1.37677239, 3.42655968, -0.183786812
-1.28779019, 3.42659565, -0.183791271
-1.78247962, 3.42650891, -0.183761643
-1.41050576, 3.4265709, -0.183785113
-1.51744317, 3.42654103, -0.18377784
-1.33390674, 3.42660168, -0.183794383
-1.62985608, 3.426553, -0.183774697
-1.30140914, 3.42658883, -0.183790668
-1.88098489, 3.42650479, -0.183744726
-1.78870647, 3.42652804, -0.183766735
-1.85803696, 3.42649364, -0.183753887
-1.69637957, 3.42653823, -0.183754781
-1.467661, 3.42659182, -0.183778061
-1.44639047, 3.42654886, -0.183796082
-1.77336793, 3.42654828, -0.183765046
-1.60195864, 3.42654494, -0.18377599
-1.53833621, 3.42655367, -0.183775007
-1.44084768, 3.42656338, -0.183770672
-1.35903624, 3.42659388, -0.183786848
-1.6474382, 3.42655106, -0.183774827
-1.77873102, 3.42653405, -0.18375308
-1.51799742, 3.42659553, -0.183774661
-1.50851485, 3.42657945, -0.183780527
-1.62821466, 3.42655212, -0.183780219
-1.61834877, 3.42654175, -0.183768552
-1.41200382, 3.42659551, -0.18379889
-1.94002869, 3.42650062, -0.18375774
-1.22877239, 3.42661112, -0.183798335
-1.64674491, 3.42653505, -0.183770226
-1.491547, 3.4265632, -0.183789658
-1.60761502, 3.42653953, -0.183773008
-1.45055019, 3.42657925, -0.183770009
-1.53189336, 3.42656575, -0.183775889
-1.75232041, 3.4265377, -0.18376543
-1.48011244, 3.42655532, -0.183772386
-1.50407361, 3.42657211, -0.183776794
-1.49238123, 3.42656706, -0.183776858
-1.50667155, 3.42657362, -0.183778758
-1.57256568, 3.42654454, -0.183783274
-1.31976682, 3.42659238, -0.183790149
-1.36563854, 3.42660376, -0.183787695
-1.73769655, 3.42652776, -0.183765303
-1.3827737, 3.42657011, -0.183780421
-1.34410813, 3.42656865, -0.183777635
-1.35128723, 3.4265954, -0.18379899
-1.404442, 3.42655177, -0.183782895
-1.51265144, 3.42657711, -0.183775161
-1.6656504, 3.4265404, -0.183771137
-1.50550406, 3.42657117, -0.183773977
-1.46048742, 3.42658041, -0.183776531
-1.45851535, 3.42659772, -0.183778424
-1.62369287, 3.42654004, -0.183781025
-1.46391091, 3.42660216, -0.183795754
-1.57303161, 3.42654081, -0.183781752
-1.55301636, 3.42655565, -0.183776946
-1.76191357, 3.42651783, -0.183751567
-1.46436547, 3.42656889, -0.183783344
-1.48735753, 3.42656908, -0.183782976
-1.58924864, 3.42657255, -0.183786206
-1.60097784, 3.42656679, -0.183780538
-1.53619194, 3.42653998, -0.183764409
-1.99495471, 3.42649138, -0.18375319
-1.93216172, 3.42651785, -0.183763507
-1.53593467, 3.42656988, -0.183789272
-1.44687091, 3.42657386, -0.183788854
-1.67582111, 3.42652029, -0.183773231
-1.31881119, 3.42659081, -0.183796869
-1.82942432, 3.42651711, -0.183763718
-1.80369598, 3.42652156, -0.183764774
-1.42632448, 3.4265815, -0.183792392
-1.47898938, 3.42657534, -0.183779751
-1.35153301, 3.42660619, -0.183786995
-1.44912218, 3.42660704, -0.183787897
-1.66577292, 3.42653401, -0.183770723
-1.83002453, 3.42653727, -0.183757435
-1.58769804, 3.42656683, -0.183777894
-1.54733997, 3.42654749, -0.183786244
-1.59021729, 3.42654473, -0.183776073
-1.52694626, 3.42654701, -0.183770669
-1.32419155, 3.42657435, -0.183778569
-1.45357517, 3.42654243, -0.183777275
-1.91409882, 3.42651838, -0.183762015
-1.47375162, 3.4265496, -0.183783364
-1.49618488, 3.42654789, -0.183784834
-1.47938247, 3.42655277, -0.183782327
-1.69192739, 3.42652034, -0.183760955
-1.72666936, 3.42653423, -0.183761109
-1.70814947, 3.4265555, -0.183777204
-1.91213442, 3.42648328, -0.183751509
-1.41988041, 3.42657125, -0.183788821
-1.61351131, 3.4265513, -0.183789199
-1.34155858, 3.42659022, -0.183783186
-1.62476732, 3.42655826, -0.18377468
-1.63570738, 3.42657284, -0.183775881
-1.32503736, 3.42656003, -0.183788406
-1.52758436, 3.42656458, -0.183765201
-1.83116162, 3.42649329, -0.183753037
-1.45430758, 3.42657483, -0.183775933
-1.62680766, 3.42655385, -0.183770995
-1.26139337, 3.42658308, -0.183784858
-1.53412947, 3.42656566, -0.1837809
-1.51517332, 3.42654452, -0.183770011
-1.36264538, 3.42656397, -0.183794051
-1.32625538, 3.42658601, -0.183801633
-1.78475535, 3.42650016, -0.183760944
-1.6918734, 3.42653002, -0.183763622
-1.45197214, 3.4265628, -0.18377465
-1.77185006, 3.42652608, -0.18375982
-1.62449534, 3.42654788, -0.183783062
-1.63528175, 3.42655246, -0.183760538
-1.56400124, 3.42654791, -0.18377086
-1.82900416, 3.42649882, -0.183757589
-1.4588538, 3.42657042, -0.183777896
-1.23321057, 3.42662055, -0.183792391
-1.73916277, 3.42653314, -0.183756264
-1.66029662, 3.42656792, -0.183772526
-1.61988676, 3.42658307, -0.183788212
-1.59268676, 3.42656395, -0.183762863
-1.30151778, 3.42659773, -0.183790398
-1.37157554, 3.42660836, -0.183790166
-1.56717772, 3.42656955, -0.183772384
-1.60328886, 3.42653073, -0.183774088
-1.73562444, 3.42654694, -0.183776889
-1.80427696, 3.42655311, -0.183759022
-1.59714234, 3.42657684, -0.183786853
-1.33933718, 3.42662044, -0.183802113
-1.64807475, 3.42652791, -0.183775728
-1.45797771, 3.42657597, -0.183783435
-1.63214347, 3.42653672, -0.183767071
-1.4076401, 3.42659916, -0.183798093
-1.2399662, 3.42659971, -0.183794779
-1.4690758, 3.42653863, -0.183772431
-1.60626741, 3.42653909, -0.183767675
-1.32210941, 3.42659251, -0.183783497
-1.57177097, 3.42654186, -0.183767071
-1.4335643, 3.42661033, -0.183791642
-1.69377047, 3.42654582, -0.183777643
-1.64505192, 3.42654469, -0.183770037
