h, theta, phi
-1.41696827, 3.42657315, -0.183831565
-1.47421516, 3.42657598, -0.183772575
-2.01090932, 3.42647819, -0.183842148
-1.53144573, 3.42656595, -0.183768506
-1.52142038, 3.42655854, -0.183783819
-1.63926611, 3.42653909, -0.18378536
-1.2140273, 3.42659744, -0.183765926
-1.3192144, 3.42658942, -0.183775268
-1.58993274, 3.42655828, -0.183794418
-1.70766739, 3.42654846, -0.183759279
-1.57533974, 3.42658638, -0.183780445
-1.54447371, 3.42656537, -0.183773076
-1.67284464, 3.42652987, -0.183783908
-1.36794283, 3.42659934, -0.183724663
-1.57127617, 3.42653442, -0.183787087
-1.54237986, 3.4265544, -0.183803192
-1.49714736, 3.42660121, -0.183755543
-1.43094705, 3.42653137, -0.183767068
-1.62649641, 3.42649817, -0.183739613
-1.75489555, 3.42656381, -0.18373906
-1.3376335, 3.42658142, -0.183773544
-1.55763777, 3.42652946, -0.183766669
-1.61152748, 3.4265457, -0.183751908
-1.42343408, 3.42658785, -0.183842636
-1.21548142, 3.42658704, -0.183791496
-1.61311125, 3.42656437, -0.183775104
-1.44535266, 3.42655845, -0.183755401
-1.48439132, 3.42655005, -0.183765759
-1.81879423, 3.42649778, -0.183780054
-1.79049487, 3.42656685, -0.183749482
-1.52303444, 3.42658594, -0.183740882
-1.48848215, 3.42657802, -0.183743587
-1.47556112, 3.42654636, -0.183807081
-1.55694586, 3.42656961, -0.183806069
-1.42928875, 3.42655478, -0.183739245
