h, theta, phi
-1.82070824, 3.42650212, -0.183772699
-1.60124484, 3.4265613, -0.183786379
-1.698793, 3.42654458, -0.183776534
-1.62660708, 3.4265524, -0.183772262
-1.69214311, 3.42654863, -0.183792251
-1.68881268, 3.42654942, -0.183743851
-1.7568405, 3.42654474, -0.183765265
-1.72133145, 3.42654108, -0.183767196
-1.58822256, 3.42651438, -0.183791494
-1.86145024, 3.42649362, -0.183769135
-1.31542285, 3.42660877, -0.183766267
-1.6919031, 3.42654942, -0.183801966
-1.88181952, 3.42651912, -0.183766849
-1.77329486, 3.4265162, -0.183751881
-1.59622753, 3.42655257, -0.183798936
-1.69219917, 3.42652464, -0.183777939
-1.31278266, 3.42656001, -0.183758669
-1.59459206, 3.4265758, -0.183792641
-1.60965232, 3.4265491, -0.183774752
-1.73120778, 3.4265636, -0.183758729
-1.5631267, 3.42657802, -0.183775739
-1.75375756, 3.42652653, -0.18377409
-1.56991993, 3.42654034, -0.183770302
-1.62255733, 3.42652516, -0.183748631
-1.53455496, 3.42654406, -0.183757941
-1.42086096, 3.4266135, -0.18376911
-1.44392685, 3.42656524, -0.183783625
-1.29268801, 3.42662638, -0.183779975
-1.32721278, 3.42662065, -0.18376237
-1.45294301, 3.42656753, -0.183793473
-1.40670671, 3.42657148, -0.183770044
-1.78085741, 3.42652858, -0.183775477
-1.84822131, 3.42652115, -0.18378125
-1.56596472, 3.42654814, -0.183772145
-1.55262823, 3.42653341, -0.183773384
-1.83613952, 3.42651555, -0.183744023
-1.8583404, 3.4264985, -0.183776268
-1.43222664, 3.42654905, -0.183772504
-1.49135006, 3.42657656, -0.183776966
-1.40260665, 3.42658952, -0.183790286
-1.73265981, 3.42653183, -0.183755403
-1.54364576, 3.42657335, -0.18375516
-1.82073934, 3.42652191, -0.183782526
-1.46496249, 3.42661109, -0.183792971
-1.28302343, 3.42659656, -0.183797207
-1.78582142, 3.42654045, -0.183766156
-1.5544866, 3.42652289, -0.183764605
-1.50628707, 3.42655758, -0.183792025
-1.48069016, 3.42655416, -0.183797548
-1.48375483, 3.42655808, -0.183769668
-1.27421736, 3.42659081, -0.183785166
-1.5917281, 3.42652972, -0.183779737
-1.75135818, 3.4265215, -0.183802672
-1.82237307, 3.42654013, -0.183756367
-1.60603382, 3.42655591, -0.183786666
-1.53191818, 3.42657408, -0.183815586
-1.43087185, 3.42662068, -0.183784516
-1.97154395, 3.42651107, -0.183756521
-1.50816964, 3.42657299, -0.183775782
-1.27115442, 3.4265968, -0.183798825
-1.38877697, 3.42658241, -0.183787408
-1.58951692, 3.42650796, -0.18378485
-1.63379379, 3.4265741, -0.183772389
-1.50984544, 3.42654761, -0.18375695
-1.24330661, 3.42662752, -0.183781648
-1.5114356, 3.42656169, -0.183766127
-1.29102026, 3.42658484, -0.183771435
-1.86903999, 3.426545, -0.183768787
-1.5709576, 3.42656781, -0.183767128
-1.77527409, 3.42652913, -0.18378999
-1.64800512, 3.42653753, -0.183784468
-1.37050867, 3.42658213, -0.183754853
-1.6038833, 3.4265592, -0.183749097
-1.85441832, 3.42654627, -0.18376612
-1.62336674, 3.4265809, -0.183762806
-1.73009453, 3.4265547, -0.183757761
-1.38561881, 3.42659082, -0.183790492
-1.77529904, 3.42655235, -0.183784654
-1.5440344, 3.42654848, -0.18375817
-1.2655792, 3.42662555, -0.183776677
