t, v, gamma, h
-248.18, 6040.2, -1.13256, 1.13644e+06
-248.08, 6040.25, -1.1325, 1.13589e+06
-247.98, 6040.31, -1.13243, 1.13534e+06
-247.88, 6040.37, -1.13237, 1.13479e+06
-247.78, 6040.43, -1.13231, 1.13425e+06
-247.68, 6040.49, -1.13224, 1.1337e+06
-247.58, 6040.55, -1.13218, 1.13315e+06
-247.48, 6040.61, -1.13211, 1.13261e+06
-247.38, 6040.67, -1.13205, 1.13206e+06
-247.28, 6040.73, -1.13198, 1.13151e+06
-247.18, 6040.79, -1.13192, 1.13097e+06
-247.08, 6040.85, -1.13185, 1.13042e+06
-246.98, 6040.91, -1.13179, 1.12987e+06
-246.88, 6040.96, -1.13172, 1.12933e+06
-246.78, 6041.02, -1.13166, 1.12878e+06
-246.68, 6041.08, -1.13159, 1.12823e+06
-246.58, 6041.14, -1.13153, 1.12769e+06
-246.48, 6041.2, -1.13147, 1.12714e+06
-246.38, 6041.26, -1.1314, 1.12659e+06
-246.28, 6041.32, -1.13134, 1.12605e+06
-246.18, 6041.38, -1.13127, 1.1255e+06
-246.08, 6041.44, -1.13121, 1.12495e+06
-245.98, 6041.5, -1.13114, 1.12441e+06
-245.88, 6041.56, -1.13108, 1.12386e+06
-245.78, 6041.62, -1.13101, 1.12331e+06
-245.68, 6041.68, -1.13095, 1.12277e+06
-245.58, 6041.74, -1.13088, 1.12222e+06
-245.48, 6041.8, -1.13082, 1.12167e+06
-245.38, 6041.85, -1.13075, 1.12113e+06
-245.28, 6041.91, -1.13069, 1.12058e+06
-245.18, 6041.97, -1.13062, 1.12003e+06
-245.08, 6042.03, -1.13056, 1.11949e+06
-244.98, 6042.09, -1.13049, 1.11894e+06
-244.88, 6042.15, -1.13043, 1.11839e+06
-244.78, 6042.21, -1.13036, 1.11785e+06
-244.68, 6042.27, -1.1303, 1.1173e+06
-244.58, 6042.33, -1.13023, 1.11675e+06
-244.48, 6042.39, -1.13017, 1.11621e+06
-244.38, 6042.45, -1.1301, 1.11566e+06
-244.28, 6042.51, -1.13004, 1.11511e+06
-244.18, 6042.57, -1.12997, 1.11457e+06
-244.08, 6042.63, -1.1299, 1.11402e+06
-243.98, 6042.69, -1.12984, 1.11347e+06
-243.88, 6042.75, -1.12977, 1.11293e+06
-243.78, 6042.81, -1.12971, 1.11238e+06
-243.68, 6042.87, -1.12964, 1.11183e+06
-243.58, 6042.93, -1.12958, 1.11129e+06
-243.48, 6042.99, -1.12951, 1.11074e+06
-243.38, 6043.05, -1.12945, 1.1102e+06
-243.28, 6043.11, -1.12938, 1.10965e+06
-243.18, 6043.17, -1.12932, 1.1091e+06
-243.08, 6043.23, -1.12925, 1.10856e+06
-242.98, 6043.29, -1.12919, 1.10801e+06
-242.88, 6043.35, -1.12912, 1.10746e+06
-242.78, 6043.41, -1.12905, 1.10692e+06
-242.68, 6043.47, -1.12899, 1.10637e+06
-242.58, 6043.53, -1.12892, 1.10582e+06
-242.48, 6043.59, -1.12886, 1.10528e+06
-242.38, 6043.65, -1.12879, 1.10473e+06
-242.28, 6043.71, -1.12873, 1.10419e+06
-242.18, 6043.77, -1.12866, 1.10364e+06
-242.08, 6043.83, -1.1286, 1.10309e+06
-241.98, 6043.89, -1.12853, 1.10255e+06
-241.88, 6043.95, -1.12846, 1.102e+06
-241.78, 6044.01, -1.1284, 1.10145e+06
-241.68, 6044.07, -1.12833, 1.10091e+06
-241.58, 6044.13, -1.12827, 1.10036e+06
